reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"U.S. Department of Health and Human Services. (2020). *Healthy People 2030: Framework*. Washington, DC: U.S. Department of Health and Human Services.",Health,minimax_m25_230b_a10b,needs-human,,MATCH,CONTRADICTION,UNCONFIRMED,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,0.833
"Hernandez, A. (2021). *The impact of social determinants on health outcomes in elderly populations* (Doctoral dissertation). University of Michigan.",Health,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTAINS,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Woolhouse, M. E., & Haydon, D. T. (2005). Emerging pathogens: the epidemiology of disease emergence. Nature Reviews Microbiology, 3(12), 919‑925.",Infectious disease,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTAINS,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Fauci, A. S., & Morens, D. M. (2012). The perpetual challenge of infectious diseases. New England Journal of Medicine, 366(5), 454‑461.",Infectious disease,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Huang, C., et al. (2020). Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China. The Lancet, 395(10223), 497‑506.",Infectious disease,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Zhou, P., et al. (2020). A pneumonia outbreak associated with a new coronavirus of probable bat origin. The Lancet, 395(10224), 565‑574.",Infectious disease,minimax_m25_230b_a10b,verified-with-error,,MATCH,MATCH,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600,0.400
"Lauer, S. A., et al. (2020). The incubation period of coronavirus disease 2019 (COVID‑19) from publicly reported confirmed cases: Estimation and analysis. Annals of Internal Medicine, 172(9), 577‑582.",Infectious disease,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,0.167
World Health Organization. (2020). Report of the WHO‑China Joint Mission on Coronavirus Disease 2019. World Health Organization.,Infectious disease,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Davies, J., & Davies, D. (2010). Origins and evolution of antibiotic resistance. Microbiology and Molecular Biology Reviews, 74(3), 417‑433.",Infectious disease,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Antimicrobial Resistance Collaborators. (2022). Global burden of bacterial antimicrobial resistance in 2019: a systematic analysis. The Lancet, 399(10296), 629‑655.",Infectious disease,minimax_m25_230b_a10b,verified,,MATCH,CONTAINS,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.867,0.133
"Pavlov, A., & Brown, C. (2019). Vector‑borne diseases in a changing climate. Annual Review of Entomology, 64, 287‑306.",Infectious disease,minimax_m25_230b_a10b,needs-human,,CONTAINS,CONTAINS,CONTAINS,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200,0.800
Joint United Nations Programme on HIV/AIDS (UNAIDS). (2021). Global AIDS update 2021. Joint United Nations Programme on HIV/AIDS.,Infectious disease,minimax_m25_230b_a10b,verified-with-error,,CONTAINS,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,0.167
World Health Organization. (2020). World malaria report 2020. World Health Organization.,Insecticide-treated bed nets for malaria,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Lengeler, C. (2004). Insecticide‑treated bed nets and curtains for preventing malaria. The Cochrane Database of Systematic Reviews, (2), CD000363.",Insecticide-treated bed nets for malaria,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Gimnig, J. E., Vulule, J. M., Lo, T., Kamau, L., Walker, E. D., & Hawley, W. A. (2005). Impact of permethrin‑treated bed nets on malaria incidence and entomologic indices in Kenya. American Journal of Tropical Medicine and Hygiene, 73(3), 466–472.",Insecticide-treated bed nets for malaria,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,CONTRADICTION,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Killeen, G. F., Smith, T. A., & Ferguson, H. M. (2007). Preventing childhood malaria in Africa by protecting infants with insecticide‑treated nets. Transactions of the Royal Society of Tropical Medicine and Hygiene, 101(9), 845–854.",Insecticide-treated bed nets for malaria,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTAINS,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Rowland, M., Durrani, N., Hewitt, S., & Mohammed, N. (2003). Randomised controlled trial of insecticide‑treated nets for malaria prevention in Afghanistan. The Lancet, 362(9377), 107–114.",Insecticide-treated bed nets for malaria,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Moyou‑Somo, R., Smith, T., & Gu, W. (2013). Effectiveness of insecticide‑treated nets and indoor residual spraying for malaria control in Ghana: A cluster‑randomised trial. Malaria Journal, 12, 238.",Insecticide-treated bed nets for malaria,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Tukei, B., Karanja, J., & Watsierah, C. (2020). Durability of long‑lasting insecticidal nets in Tanzania: A prospective cohort study. Parasites & Vectors, 13, 572.",Insecticide-treated bed nets for malaria,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,MATCH,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Russell, T. L., Lwetoijera, D. W., Malede, A., Kaindhula, N., & Smith, D. L. (2021). Effectiveness of dual‑active ingredient insecticide‑treated nets for malaria control in Tanzania: A cluster‑randomised controlled trial. The Lancet, 398(10313), 1595–1604.",Insecticide-treated bed nets for malaria,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Ndiath, M., Faye, B., & Ouedraogo, J. (2012). Systematic review of the integrated approach to malaria control using insecticide‑treated nets and indoor residual spraying. Malaria Journal, 11, 258.",Insecticide-treated bed nets for malaria,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTAINS,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Nosten, F., & ter Kuile, F. (2006). Insecticide‑treated nets for malaria prevention in pregnancy: A randomised controlled trial. The Lancet, 367(9515), 1195–1201.",Insecticide-treated bed nets for malaria,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTAINS,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Zeller, M. (1998). Determinants of repayment performance in group‑based credit programmes: Evidence from Madagascar. Journal of Development Economics, 55(2), 273–296.",Microfinance loan repayment,minimax_m25_230b_a10b,needs-human,,CONTAINS,MATCH,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433,0.567
"Pitt, M. M., & Khandker, S. R. (1998). The impact of group‑based credit programs on the poor in Bangladesh. Journal of Development Economics, 55(2), 313–339.",Microfinance loan repayment,minimax_m25_230b_a10b,needs-human,,CONTAINS,MATCH,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433,0.567
"Khandker, S. R. (2005). Microfinance and poverty: Evidence using panel data from Bangladesh. The World Bank Economic Review, 19(2), 263–286.",Microfinance loan repayment,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Coleman, A. K. (2006). The impact of group lending on the repayment performance of micro‑borrowers: Evidence from Ghana. World Development, 34(9), 1618–1633.",Microfinance loan repayment,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Mia, M. A. (2015). Determinants of loan repayment performance in microfinance institutions: Evidence from Bangladesh (Doctoral dissertation). University of Dhaka.",Microfinance loan repayment,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Mekonnen, M., & Fekadu, B. (2014). Determinants of microfinance loan repayment: Evidence from Ethiopia. International Journal of Business and Social Science, 5(10), 125–134.",Microfinance loan repayment,minimax_m25_230b_a10b,unverified,,CONTAINS,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Bhuiyan, A. B., & Siwar, C. (2012). Determinants of loan repayment performance: Empirical evidence from microfinance programmes in Bangladesh. Journal of Asian Social Science, 8(10), 55–65.",Microfinance loan repayment,minimax_m25_230b_a10b,unverified,,CONTRADICTION,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Nawai, N., & Shariff, M. N. (2012). Determinants of repayment performance in microfinance: Evidence from Malaysia. International Journal of Business and Management, 7(15), 70–81.",Microfinance loan repayment,minimax_m25_230b_a10b,needs-human,,CONTAINS,MATCH,CONTAINS,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.667
"Mojica, E., & Wydick, B. (2003). Social capital and microenterprise performance: The role of group lending. World Development, 31(6), 1037–1051.",Microfinance loan repayment,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Ahlin, C., & Jiang, N. (2008). Can microcredit bring lasting benefits? Evidence from a randomized control trial in Mongolia. Journal of Development Economics, 85(1‑2), 1–27.",Microfinance loan repayment,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Kirubi, C., Jacobson, A., Kammen, D. M., & Mills, A. (2010). Community‑based electric microgrids: The potential of rural electrification in Kenya. Energy Policy, 38(5), 2420–2431.",Mini-grid electrification,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,MATCH,CONTAINS,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133,0.867
"Alstone, P., Gnerre, M., & O'Neill, K. (2017). Learning from the first decade of distributed mini‑grids. Energy Policy, 109, 48–56.",Mini-grid electrification,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Bhattacharyya, S. C. (2012). Mini‑grid based electrification in Bangladesh: A review of socio‑economic and technical aspects. Renewable and Sustainable Energy Reviews, 16(5), 2911–2924.",Mini-grid electrification,minimax_m25_230b_a10b,needs-human,,CONTAINS,MATCH,CONTRADICTION,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.667
"Mandelli, S., Brivio, C., & Colombo, E. (2016). Designing off‑grid rural electrification systems: A review of the current state and future perspectives. Renewable and Sustainable Energy Reviews, 62, 476–492.",Mini-grid electrification,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTAINS,MATCH,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"Givisiez, A. G., Petrou, K., & Nguyen, K. (2020). A review of hybrid renewable mini‑grid systems for rural electrification. Renewable and Sustainable Energy Reviews, 123, Article 109760.",Mini-grid electrification,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTAINS,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Szabó, S., Bódis, K., Huld, T., & Moner‑Girona, M. (2013). The role of renewable energy mini‑grids in rural electrification of developing countries. Renewable Energy, 57, 299–311.",Mini-grid electrification,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Peters, J., & Sievert, M. (2019). Impacts of mini‑grid electrification on socioeconomic outcomes: Evidence from Uganda. Energy Policy, 134, Article 110945.",Mini-grid electrification,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
International Renewable Energy Agency (IRENA). (2019). Renewable energy mini‑grids: Technical and market considerations. IRENA.,Mini-grid electrification,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTAINS,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200,0.800
World Bank. (2018). Mini‑grids for rural electrification: An overview of the private‑sector approach (World Bank Technical Report No. 12345). World Bank.,Mini-grid electrification,minimax_m25_230b_a10b,needs-human,,CONTAINS,MATCH,UNCONFIRMED,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.533,0.467
"Ahmed, S. (2020). Planning and optimization of renewable energy‑based mini‑grids for rural electrification (Doctoral dissertation). University of Cambridge.",Mini-grid electrification,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Kim, J., & Lee, H. (2011). Determinants of adoption of mobile banking in Korea. *Electronic Commerce Research and Applications, 10*(5), 539–551.",Mobile banking,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTAINS,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Choi, J., & Park, S. (2013). Understanding the acceptance of mobile banking services: An integrated model. *International Journal of Mobile Communications, 11*(2), 144–165.",Mobile banking,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Sung, T., & Park, J. (2012). The effect of trust on the adoption of mobile banking: Evidence from a developing country. *Journal of Financial Services Marketing, 17*(2), 124–134.",Mobile banking,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTAINS,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Chen, C., & Chen, Y. (2014). Security and privacy concerns in mobile banking: A systematic review. *Information & Management, 51*(6), 819–831.",Mobile banking,minimax_m25_230b_a10b,unverified,,CONTRADICTION,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Das, S., & Sahoo, J. (2009). Mobile banking in India: Opportunities and challenges. In *Proceedings of the 2009 International Conference on Electronic Commerce and Web Technologies (ECWEB ’09)* (pp. 45–56). Springer.",Mobile banking,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Mbiti, I., & Weil, D. N. (2011). *Mobile banking: The impact of M‑Pesa in Kenya* (NBER Working Paper No. 16427). National Bureau of Economic Research.",Mobile banking,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Angafor, G., & Okunoye, A. (2010). M‑banking adoption and usage in Nigeria: A case study of the Zenith Bank mobile service. In *Proceedings of the 2010 ACM International Conference on Wireless and Mobile Computing (WiMob ’10)* (pp. 312–317). ACM.",Mobile banking,minimax_m25_230b_a10b,unverified,,CONTAINS,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,0.833
"Lee, K. (2015). *The role of perceived risk and perceived usefulness in mobile banking adoption: A study of U.S. consumers* (Doctoral dissertation). University of Texas at Austin.",Mobile banking,minimax_m25_230b_a10b,unverified,,CONTRADICTION,UNCONFIRMED,UNCONFIRMED,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Gaur, S., & Onta, S. (2016). A structural model of mobile banking adoption in Nepal. *Journal of Retailing and Consumer Services, 33*, 112–122.",Mobile banking,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Zampal, M., & Bui, T. (2018). A cross‑country analysis of mobile banking adoption in Sub‑Saharan Africa. *International Journal of Bank Marketing, 36*(4), 730–748.",Mobile banking,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Lipset, S. M. (1959). Some social requisites of democracy: Economic development and political legitimacy. *American Political Science Review*, *53*(1), 69–105.",Political Science,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Przeworski, A., & Limongi, F. (1997). Modernization: Theories and facts. *World Politics*, *49*(2), 155–183.",Political Science,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Kertzer, D. J., & Zeichner, A. (2015). Comparative study of electoral systems: Design and preliminary results. *Paper presented at the Annual Meeting of the American Political Science Association, San Francisco*.",Political Science,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
World Bank. (2017). *World development report 2017: Governance and the law*. World Bank.,Political Science,minimax_m25_230b_a10b,verified,,MATCH,CONTAINS,MATCH,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.767,0.233
"Norris, P. (2011). *Democratic deficit: Critical citizens revisited*. Cambridge University Press.",Political Science,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.800,0.200
"Dalton, R. J. (2008). *Citizen politics: Public opinion and political parties in advanced industrial democracies*. CQ Press.",Political Science,minimax_m25_230b_a10b,verified-with-error,,MATCH,MATCH,CONTRADICTION,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600,0.400
"Lijphart, A. (1999). *Patterns of democracy: Government forms and performance in thirty‑six countries*. Yale University Press.",Political Science,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Levitsky, S., & Ziblatt, D. (2018). *How democracies die*. Crown Publishing.",Political Science,minimax_m25_230b_a10b,verified-with-error,,MATCH,MATCH,CONTRADICTION,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.400,0.600
"Geddes, B., Wright, J., & Frantz, E. (2018). *How dictatorships work: Power, personalization, and collapse*. Cambridge University Press.",Political Science,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Smith, R. D. (2019). *The effect of electoral rules on party system fragmentation* (Doctoral dissertation, University of Michigan).",Political Science,minimax_m25_230b_a10b,unverified,,CONTAINS,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Armaroli, N., & Balzani, V. (2011). The future of solar energy: From photovoltaics to artificial photosynthesis. *Energy & Environmental Science*, *4*(9), 3193–3222. https://doi.org/10.1039/C0EE00676J",Renewable energy,minimax_m25_230b_a10b,unverified,,CONTRADICTION,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Jacobson, M. Z., & Delucchi, M. A. (2011). Providing all global energy with wind, water, and solar power, Part I: Technologies, energy resources, quantities and areas of infrastructure, and materials. *Energy Policy*, *39*(3), 1154–1169. https://doi.org/10.1016/j.enpol.2010.11.040",Renewable energy,minimax_m25_230b_a10b,verified,,MATCH,MATCH,CONTAINS,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.925,0.075
"Ellabban, O., Abu‑Rub, H., & Blaabjerg, F. (2014). Renewable energy resources: Current status, future prospects and their enabling technology. *Renewable and Sustainable Energy Reviews*, *39*, 748–764. https://doi.org/10.1016/j.rser.2014.07.113",Renewable energy,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
International Renewable Energy Agency. (2020). *Global status report for renewable energy*. IRENA. https://www.irena.org/publications/2020/Oct/Global-Status-Report-Renewable-Energy,Renewable energy,minimax_m25_230b_a10b,unverified,,CONTAINS,CONTRADICTION,MATCH,CONTRADICTION,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Spertino, F., & Graditi, G. (2019). Solar photovoltaic installations: Design, operation, and maintenance. *IEEE Transactions on Industry Applications*, *55*(4), 3456–3467. https://doi.org/10.1109/TIA.2019.2914100",Renewable energy,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,MATCH,CONTAINS,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Kaldellis, J. K., & Zafirakis, D. (2011). The wind energy renewable: The challenge of integration in the Greek power system. *Renewable Energy*, *36*(9), 2505–2514. https://doi.org/10.1016/j.renene.2011.02.015",Renewable energy,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"Zhang, L., & Wang, H. (2020). Integration of offshore wind farms into power grids: Challenges and solutions. In *Proceedings of the 2020 International Conference on Wind Energy (ICWE 2020)* (pp. 312–319). IEEE. https://doi.org/10.1109/ICWE2020.9245678",Renewable energy,minimax_m25_230b_a10b,verified,,CONTAINS,CONTAINS,CONTAINS,MATCH,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.450,0.550
"Mohammadi, K., Nizami, S., & Gandomkar, M. (2018). A comprehensive review of solar energy systems: Technology, applications, and challenges. *Renewable and Sustainable Energy Reviews*, *91*, 306–332. https://doi.org/10.1016/j.rser.2018.03.082",Renewable energy,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"Al‑Sharji, S. (2019). *Optimization of hybrid renewable energy systems for remote areas* (Doctoral dissertation). University of Queensland. https://doi.org/10.14264/uql.2019.5",Renewable energy,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,CONTAINS,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.975
International Energy Agency. (2021). *World Energy Outlook 2021*. IEA. https://www.iea.org/reports/world-energy-outlook-2021,Renewable energy,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Bhattacharyya, S. C. (2012). Rural electrification: A review of challenges and opportunities. *Energy Policy, 45*, 435–445. https://doi.org/10.1016/j.enpol.2012.02.021",Rural electrification,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"Kaygusuz, K. (2010). Energy for sustainable development: The role of renewable energy in rural electrification. *Renewable Energy, 35*(6), 1129–1138. https://doi.org/10.1016/j.renene.2009.11.016",Rural electrification,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,CONTAINS,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.975
"Jacobson, A. (2007). Connective power: Solar electrification and social transformation in rural Kenya. *Energy Policy, 35*(4), 2192–2201. https://doi.org/10.1016/j.enpol.2006.11.008",Rural electrification,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,CONTAINS,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.975
"Modi, V. (2006). Electricity and the environment: The impact of rural electrification. *The Energy Journal, 27*(4), 63–80. https://doi.org/10.5547/issn0195-6574-EJ-Vol27-No4-4",Rural electrification,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"Welsch, M., & Bazilian, M. (2013). The role of distributed generation in achieving sustainable rural electrification. *Renewable Energy, 58*, 147–156. https://doi.org/10.1016/j.renene.2013.02.024",Rural electrification,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"Cader, C., & Raugei, M. (2021). Techno‑economic assessment of hybrid mini‑grids for rural electrification: A systematic review. *Renewable and Sustainable Energy Reviews, 141*, 110789. https://doi.org/10.1016/j.rser.2021.110789",Rural electrification,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
